aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Bus,1,Race and Ethnicity,Race,Prefer not to say,0.015713768,66
Reporting Group,Bus,1,Race and Ethnicity,Title VI Minority,Yes,0.661058027,67
Reporting Group,Bus,1,Race and Ethnicity,Title VI Minority,No,0.338941973,68
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.081885844,69
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,5 days per week,0.411188128,70
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.24005842,71
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,1 to 2 days per week,0.114828578,72
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.081967338,73
Reporting Group,Bus,1,Trip Purpose and Frequency,Frequency,Less than once per month,0.070071692,74
Reporting Group,Bus,1,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.537294645,75
Reporting Group,Bus,1,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.079086962,76
Reporting Group,Bus,1,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.054533456,77
Reporting Group,Bus,1,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.190608219,78
Reporting Group,Bus,1,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.138476718,79
Reporting Group,Bus,1,Vehicles,Cars per Capita,0,0.485885173,80
Reporting Group,Bus,1,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.290692775,81
Reporting Group,Bus,1,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.029982154,82
Reporting Group,Bus,1,Vehicles,Cars per Capita,1 or more,0.045595562,83
Reporting Group,Bus,1,Vehicles,Usable Cars,0,0.476546688,84
Reporting Group,Bus,1,Vehicles,Usable Cars,1,0.370021648,85
Reporting Group,Bus,1,Vehicles,Usable Cars,2,0.138192832,86
Reporting Group,Bus,1,Vehicles,Usable Cars,3 or more,0.015238832,87
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,Walked,0.940408731,88
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.014193649,89
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.006887756,90
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.021473274,91
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.003261078,92
Reporting Group,Bus,10,Access Mode,Access to First MBTA Service,The RIDE,0.013775512,93
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Different MBTA Service,0.320322479,94
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Drive Alone,0.378057432,95
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.404046376,96
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Walk,0.160161239,97
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.217896192,98
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0,99
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0,100
Reporting Group,Bus,11,Other Demographics,Gender,Prefer not to say,0.006878105,101
Reporting Group,Bus,11,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.202425154,102
Reporting Group,Bus,11,Race and Ethnicity,Hispanic or Latino/Latina,No,0.790696741,103
Reporting Group,Bus,11,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.006878105,104
Reporting Group,Bus,11,Race and Ethnicity,Race,American Indian or Alaska Native,0.023714386,105
Reporting Group,Bus,11,Race and Ethnicity,Race,Asian,0.145532431,106
Reporting Group,Bus,11,Race and Ethnicity,Race,Black or African American,0.195910112,107
Reporting Group,Bus,11,Race and Ethnicity,Race,Middle Eastern or North African,0.006834753,108
Reporting Group,Bus,11,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.006302895,109
Reporting Group,Bus,11,Race and Ethnicity,Race,White,0.630145239,110
Reporting Group,Bus,11,Race and Ethnicity,Race,Other,0.046896913,111
Reporting Group,Bus,11,Race and Ethnicity,Race,Prefer not to say,0.013137648,112
Reporting Group,Bus,11,Race and Ethnicity,Title VI Minority,Yes,0.477141469,113
Reporting Group,Bus,11,Race and Ethnicity,Title VI Minority,No,0.522858531,114
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.060024105,115
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,5 days per week,0.483863627,116
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.163296148,117
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,1 to 2 days per week,0.121816459,118
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.069389566,119
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,Less than once per month,0.101610096,120
Reporting Group,Bus,11,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.641554979,121
Reporting Group,Bus,11,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.013713625,122
Reporting Group,Bus,11,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.078610812,123
Reporting Group,Bus,11,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.154238286,124
Reporting Group,Bus,11,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.111882299,125
Reporting Group,Bus,11,Vehicles,Cars per Capita,0,0.406057113,126
Reporting Group,Bus,11,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.351562088,127
Reporting Group,Bus,11,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.009079099,128
Reporting Group,Bus,11,Vehicles,Cars per Capita,1 or more,0.122868162,129
Reporting Group,Bus,11,Vehicles,Usable Cars,0,0.424697784,130
Reporting Group,Bus,11,Vehicles,Usable Cars,1,0.348670787,131
Reporting Group,Bus,11,Vehicles,Usable Cars,2,0.219596806,132
Reporting Group,Bus,11,Vehicles,Usable Cars,3 or more,0.007034623,133
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Walked,0.959604869,134
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.005795306,135
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Drove Alone,0.001476106,136
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.010223623,137
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.005795306,138
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.01415258,139
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,The RIDE,0.002952211,140
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Different MBTA Service,0.51335246,141
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Drive Alone,0.192432797,142
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.035684281,143
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Walk,0,144
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.119968025,145
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.138562437,146
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.035684281,147
Reporting Group,Bus,111,Alternative Modes,Alternative Mode,Other,0,148
Reporting Group,Bus,111,Alternative Modes,Used Alternative Mode,No,0.878575518,149
Reporting Group,Bus,111,Alternative Modes,Used Alternative Mode,Yes,0.121424482,150
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Other,0,151
Reporting Group,Bus,10,Alternative Modes,Used Alternative Mode,No,0.880213589,152
Reporting Group,Bus,10,Alternative Modes,Used Alternative Mode,Yes,0.119786411,153
Reporting Group,Bus,10,Fares,Fare Product,Monthly Pass,0.393940177,154
Reporting Group,Bus,10,Fares,Fare Product,Pay-as-you-go,0.378163009,155
Reporting Group,Bus,10,Fares,Fare Product,7-day Pass,0.187560888,156
Reporting Group,Bus,10,Fares,Fare Product,Student Pass (M7),0.014508874,157
Reporting Group,Bus,10,Fares,Fare Product,1-day Pass,0.025827051,158
Reporting Group,Bus,10,Fares,Reduced Fares,Full Fare,0.775384151,159
Reporting Group,Bus,10,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.104024012,160
Reporting Group,Bus,10,Fares,Reduced Fares,Student (S-Card or M7),0.032766079,161
Reporting Group,Bus,10,Fares,Reduced Fares,Senior CharlieCard,0.052796612,162
Reporting Group,Bus,10,Fares,Reduced Fares,Youth Pass,0.014140198,163
Reporting Group,Bus,10,Fares,Reduced Fares,Transportation Access Pass (TAP),0.006694821,164
Reporting Group,Bus,10,Fares,Reduced Fares,Other Reduced or Free Fare,0.014194127,165
Reporting Group,Bus,10,Income,Household Income,Less than 30% of Area Median Income,0.144781538,166
Reporting Group,Bus,10,Income,Household Income,30% to 60% of Area Median Income,0.337721653,167
Reporting Group,Bus,10,Income,Household Income,60% to 80% of Area Median Income,0.193273896,168
Reporting Group,Bus,10,Income,Household Income,80% to 100% of Area Median Income,0.147786506,169
Reporting Group,Bus,10,Income,Household Income,100% to 140% of Area Median Income,0.07306906,170
Reporting Group,Bus,10,Income,Household Income,140% to 200% of Area Median Income,0.035759778,171
Reporting Group,Bus,10,Income,Household Income,Prefer not to say,0.067607569,172
Reporting Group,Bus,10,Income,Title VI Low-Income,Yes,0.724777534,173
Reporting Group,Bus,10,Income,Title VI Low-Income,No,0.275222466,174
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Always,0.90506809,175
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Often,0.047487145,176
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Sometimes,0.040773782,177
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Never,0.006670983,178
Reporting Group,Bus,10,Other Demographics,Age,Under 18,0.018233324,179
Reporting Group,Bus,10,Other Demographics,Age,18 to 25,0.266507239,180
Reporting Group,Bus,10,Other Demographics,Age,26 to 34,0.302675868,181
Reporting Group,Bus,10,Other Demographics,Age,35 to 44,0.177924576,182
Reporting Group,Bus,10,Other Demographics,Age,45 to 64,0.175462469,183
Reporting Group,Bus,10,Other Demographics,Age,65 or older,0.059196523,184
Reporting Group,Bus,10,Other Demographics,Gender,Woman,0.626973902,185
Reporting Group,Bus,10,Other Demographics,Gender,Man,0.365668113,186
Reporting Group,Bus,10,Other Demographics,Gender,Non-Binary,0.007357985,187
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.14684047,188
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latino/Latina,No,0.84653838,189
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.00662115,190
Reporting Group,Bus,10,Race and Ethnicity,Race,American Indian or Alaska Native,0.007516722,191
Reporting Group,Bus,10,Race and Ethnicity,Race,Asian,0.120461618,192
Reporting Group,Bus,10,Race and Ethnicity,Race,Black or African American,0.218168274,193
Reporting Group,Bus,10,Race and Ethnicity,Race,Middle Eastern or North African,0.022496112,194
Reporting Group,Bus,10,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.014173036,195
Reporting Group,Bus,10,Race and Ethnicity,Race,White,0.580050755,196
Reporting Group,Bus,10,Race and Ethnicity,Race,Other,0.039552543,197
Reporting Group,Bus,10,Race and Ethnicity,Race,Prefer not to say,0.020131106,198
Reporting Group,Bus,10,Race and Ethnicity,Title VI Minority,Yes,0.490020215,199
Reporting Group,Bus,10,Race and Ethnicity,Title VI Minority,No,0.509979785,200
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Walked,0.941866137,201
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.019179966,202
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Drove Alone,0.001834697,203
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.011419643,204
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.00863867,205
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.008315211,206
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,The RIDE,0.008745676,207
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Different MBTA Service,0.355211369,208
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Drive Alone,0.129315523,209
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.401982778,210
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Walk,0.23356976,211
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.127386726,212
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.142368815,213
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.030291281,214
Reporting Group,Bus,1,Alternative Modes,Alternative Mode,Other,0.010648888,215
Reporting Group,Bus,1,Alternative Modes,Used Alternative Mode,No,0.811565967,216
Reporting Group,Bus,1,Alternative Modes,Used Alternative Mode,Yes,0.188434033,217
Reporting Group,Bus,1,Fares,Fare Product,Monthly Pass,0.42708121,218
Reporting Group,Bus,1,Fares,Fare Product,Pay-as-you-go,0.311926555,219
Reporting Group,Bus,1,Fares,Fare Product,7-day Pass,0.186494007,220
Reporting Group,Bus,1,Fares,Fare Product,Student Pass (M7),0.02989278,221
Reporting Group,Bus,1,Fares,Fare Product,Semester Pass,0.024258899,222
Reporting Group,Bus,1,Fares,Fare Product,1-day Pass,0.014127646,223
Reporting Group,Bus,1,Fares,Fare Product,Other,0.006218902,224
Reporting Group,Bus,1,Fares,Reduced Fares,Full Fare,0.76506655,225
Reporting Group,Bus,1,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.111757144,226
Reporting Group,Bus,1,Fares,Reduced Fares,Student (S-Card or M7),0.025761619,227
Reporting Group,Bus,1,Fares,Reduced Fares,Senior CharlieCard,0.044449483,228
Reporting Group,Bus,1,Fares,Reduced Fares,Youth Pass,0.009941017,229
Reporting Group,Bus,1,Fares,Reduced Fares,Transportation Access Pass (TAP),0.03960218,230
Reporting Group,Bus,1,Fares,Reduced Fares,Other Reduced or Free Fare,0.003422007,231
Reporting Group,Bus,1,Income,Household Income,Less than 30% of Area Median Income,0.175476732,232
Reporting Group,Bus,1,Income,Household Income,30% to 60% of Area Median Income,0.357292668,233
Reporting Group,Bus,1,Income,Household Income,60% to 80% of Area Median Income,0.207735815,234
Reporting Group,Bus,1,Income,Household Income,80% to 100% of Area Median Income,0.076243011,235
Reporting Group,Bus,1,Income,Household Income,100% to 140% of Area Median Income,0.065029633,236
Reporting Group,Bus,1,Income,Household Income,140% to 200% of Area Median Income,0.031022248,237
Reporting Group,Bus,1,Income,Household Income,200% or more of Area Median Income,0.002017764,238
Reporting Group,Bus,1,Income,Household Income,Prefer not to say,0.08518213,239
Reporting Group,Bus,1,Income,Title VI Low-Income,Yes,0.809456438,240
Reporting Group,Bus,1,Income,Title VI Low-Income,No,0.190543562,241
Reporting Group,Bus,1,Other Demographics,Ability to Understand English,Always,0.914091445,242
Reporting Group,Bus,1,Other Demographics,Ability to Understand English,Often,0.058762968,243
Reporting Group,Bus,1,Other Demographics,Ability to Understand English,Sometimes,0.023327383,244
Reporting Group,Bus,1,Other Demographics,Ability to Understand English,Never,0.003818205,245
Reporting Group,Bus,1,Other Demographics,Age,Under 18,0.038146541,246
Reporting Group,Bus,1,Other Demographics,Age,18 to 25,0.303194567,247
Reporting Group,Bus,1,Other Demographics,Age,26 to 34,0.317334053,248
Reporting Group,Bus,1,Other Demographics,Age,35 to 44,0.207565332,249
Reporting Group,Bus,1,Other Demographics,Age,45 to 64,0.107610755,250
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,Walked,0.896255132,251
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.021810031,252
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.044006469,253
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.023126075,254
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.008323781,255
Reporting Group,Bus,11,Access Mode,Access to First MBTA Service,The RIDE,0.006478512,256
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Different MBTA Service,0.609449907,257
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Drive Alone,0.203264153,258
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.229929817,259
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Walk,0.157301866,260
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.039325467,261
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.078650933,262
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.042643877,263
Reporting Group,Bus,11,Alternative Modes,Alternative Mode,Other,0,264
Reporting Group,Bus,11,Alternative Modes,Used Alternative Mode,No,0.834783324,265
Reporting Group,Bus,11,Alternative Modes,Used Alternative Mode,Yes,0.165216676,266
Reporting Group,Bus,11,Fares,Fare Product,Monthly Pass,0.560934097,267
Reporting Group,Bus,11,Fares,Fare Product,Pay-as-you-go,0.234266011,268
Reporting Group,Bus,11,Fares,Fare Product,7-day Pass,0.169006187,269
Reporting Group,Bus,11,Fares,Fare Product,Student Pass (M7),0.013881541,270
Reporting Group,Bus,11,Fares,Fare Product,1-day Pass,0.013341433,271
Reporting Group,Bus,11,Fares,Fare Product,Other,0.00857073,272
Reporting Group,Bus,11,Fares,Reduced Fares,Full Fare,0.779698994,273
Reporting Group,Bus,11,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.133134231,274
Reporting Group,Bus,11,Fares,Reduced Fares,Student (S-Card or M7),0.020375834,275
Reporting Group,Bus,11,Fares,Reduced Fares,Senior CharlieCard,0.018790251,276
Reporting Group,Bus,11,Fares,Reduced Fares,Youth Pass,0.006791945,277
Reporting Group,Bus,11,Fares,Reduced Fares,Transportation Access Pass (TAP),0.041208745,278
Reporting Group,Bus,11,Income,Household Income,Less than 30% of Area Median Income,0.171762547,279
Reporting Group,Bus,11,Income,Household Income,30% to 60% of Area Median Income,0.264053071,280
Reporting Group,Bus,11,Income,Household Income,60% to 80% of Area Median Income,0.178905143,281
Reporting Group,Bus,11,Income,Household Income,80% to 100% of Area Median Income,0.179124229,282
Reporting Group,Bus,11,Income,Household Income,100% to 140% of Area Median Income,0.106877534,283
Reporting Group,Bus,11,Income,Household Income,140% to 200% of Area Median Income,0.019742095,284
Reporting Group,Bus,11,Income,Household Income,200% or more of Area Median Income,0.042111718,285
Reporting Group,Bus,11,Income,Household Income,Prefer not to say,0.037423664,286
Reporting Group,Bus,11,Income,Title VI Low-Income,Yes,0.638620271,287
Reporting Group,Bus,11,Income,Title VI Low-Income,No,0.361379729,288
Reporting Group,Bus,11,Other Demographics,Ability to Understand English,Always,0.934803619,289
Reporting Group,Bus,11,Other Demographics,Ability to Understand English,Often,0.030482894,290
Reporting Group,Bus,11,Other Demographics,Ability to Understand English,Sometimes,0.034713488,291
Reporting Group,Bus,11,Other Demographics,Age,Under 18,0.02036507,292
Reporting Group,Bus,11,Other Demographics,Age,18 to 25,0.317084639,293
Reporting Group,Bus,11,Other Demographics,Age,26 to 34,0.376595104,294
Reporting Group,Bus,11,Other Demographics,Age,35 to 44,0.161694918,295
Reporting Group,Bus,11,Other Demographics,Age,45 to 64,0.105479944,296
Reporting Group,Bus,11,Other Demographics,Age,65 or older,0.018780325,297
Reporting Group,Bus,11,Other Demographics,Gender,Woman,0.641355504,298
Reporting Group,Bus,11,Other Demographics,Gender,Man,0.343273041,299
Reporting Group,Bus,11,Other Demographics,Gender,Non-Binary,0.008493349,300
Reporting Group,Bus,111,Fares,Fare Product,Monthly Pass,0.389246365,301
Reporting Group,Bus,111,Fares,Fare Product,Pay-as-you-go,0.216005746,302
Reporting Group,Bus,111,Fares,Fare Product,7-day Pass,0.328310979,303
Reporting Group,Bus,111,Fares,Fare Product,Student Pass (M7),0.033913154,304
Reporting Group,Bus,111,Fares,Fare Product,Semester Pass,0.005228267,305
Reporting Group,Bus,111,Fares,Fare Product,1-day Pass,0.027295489,306
Reporting Group,Bus,111,Fares,Reduced Fares,Full Fare,0.795465932,307
Reporting Group,Bus,111,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.132149709,308
Reporting Group,Bus,111,Fares,Reduced Fares,Student (S-Card or M7),0.039582941,309
Reporting Group,Bus,111,Fares,Reduced Fares,Senior CharlieCard,0.013612115,310
Reporting Group,Bus,111,Fares,Reduced Fares,Youth Pass,0.009287434,311
Reporting Group,Bus,111,Fares,Reduced Fares,Transportation Access Pass (TAP),0.003095811,312
Reporting Group,Bus,111,Fares,Reduced Fares,Blind Access CharlieCard,0.003710246,313
Reporting Group,Bus,111,Fares,Reduced Fares,Other Reduced or Free Fare,0.003095811,314
Reporting Group,Bus,111,Income,Household Income,Less than 30% of Area Median Income,0.198302345,315
Reporting Group,Bus,111,Income,Household Income,30% to 60% of Area Median Income,0.372594298,316
Reporting Group,Bus,111,Income,Household Income,60% to 80% of Area Median Income,0.237460951,317
Reporting Group,Bus,111,Income,Household Income,80% to 100% of Area Median Income,0.061775591,318
Reporting Group,Bus,111,Income,Household Income,100% to 140% of Area Median Income,0.019862472,319
Reporting Group,Bus,111,Income,Household Income,140% to 200% of Area Median Income,0.007680805,320
Reporting Group,Bus,111,Income,Household Income,Prefer not to say,0.102323538,321
Reporting Group,Bus,111,Income,Title VI Low-Income,Yes,0.900499933,322
Reporting Group,Bus,111,Income,Title VI Low-Income,No,0.099500067,323
